cohort_month,month_offset,cohort_size,customers_active,retention_pct
2009-12,0,951,951,100.0
2009-12,1,951,335,35.23
2009-12,2,951,317,33.33
2009-12,3,951,404,42.48
2009-12,4,951,360,37.85
2009-12,5,951,342,35.96
2009-12,6,951,358,37.64
2009-12,7,951,327,34.38
2009-12,8,951,321,33.75
2009-12,9,951,344,36.17
2009-12,10,951,401,42.17
2009-12,11,951,472,49.63
2009-12,12,951,358,37.64
2009-12,13,951,268,28.18
2009-12,14,951,232,24.4
2009-12,15,951,288,30.28
2009-12,16,951,250,26.29
2009-12,17,951,288,30.28
2009-12,18,951,270,28.39
2009-12,19,951,246,25.87
2009-12,20,951,242,25.45
2009-12,21,951,298,31.34
2009-12,22,951,289,30.39
2009-12,23,951,386,40.59
2009-12,24,951,187,19.66
2010-01,0,382,382,100.0
2010-01,1,382,79,20.68
2010-01,2,382,119,31.15
2010-01,3,382,117,30.63
2010-01,4,382,101,26.44
2010-01,5,382,115,30.1
2010-01,6,382,99,25.92
2010-01,7,382,88,23.04
2010-01,8,382,106,27.75
2010-01,9,382,121,31.68
2010-01,10,382,115,30.1
2010-01,11,382,66,17.28
2010-01,12,382,84,21.99
2010-01,13,382,67,17.54
2010-01,14,382,72,18.85
2010-01,15,382,57,14.92
2010-01,16,382,90,23.56
2010-01,17,382,75,19.63
2010-01,18,382,71,18.59
2010-01,19,382,75,19.63
2010-01,20,382,93,24.35
2010-01,21,382,74,19.37
2010-01,22,382,94,24.61
2010-01,23,382,21,5.5
2010-02,0,375,375,100.0
2010-02,1,375,88,23.47
2010-02,2,375,85,22.67
2010-02,3,375,110,29.33
2010-02,4,375,92,24.53
2010-02,5,375,74,19.73
2010-02,6,375,72,19.2
2010-02,7,375,108,28.8
2010-02,8,375,96,25.6
2010-02,9,375,104,27.73
2010-02,10,375,43,11.47
2010-02,11,375,47,12.53
2010-02,12,375,57,15.2
2010-02,13,375,66,17.6
2010-02,14,375,46,12.27
2010-02,15,375,75,20.0
2010-02,16,375,60,16.0
2010-02,17,375,61,16.27
2010-02,18,375,54,14.4
2010-02,19,375,86,22.93
2010-02,20,375,86,22.93
2010-02,21,375,62,16.53
2010-02,22,375,22,5.87
2010-03,0,440,440,100.0
2010-03,1,440,84,19.09
2010-03,2,440,102,23.18
2010-03,3,440,107,24.32
2010-03,4,440,102,23.18
2010-03,5,440,90,20.45
2010-03,6,440,108,24.55
2010-03,7,440,134,30.45
2010-03,8,440,122,27.73
2010-03,9,440,48,10.91
2010-03,10,440,51,11.59
2010-03,11,440,63,14.32
2010-03,12,440,88,20.0
2010-03,13,440,72,16.36
2010-03,14,440,88,20.0
2010-03,15,440,75,17.05
2010-03,16,440,77,17.5
2010-03,17,440,69,15.68
2010-03,18,440,78,17.73
2010-03,19,440,89,20.23
2010-03,20,440,94,21.36
2010-03,21,440,34,7.73
2010-04,0,293,293,100.0
2010-04,1,293,56,19.11
2010-04,2,293,56,19.11
2010-04,3,293,47,16.04
2010-04,4,293,54,18.43
2010-04,5,293,65,22.18
2010-04,6,293,81,27.65
2010-04,7,293,77,26.28
2010-04,8,293,31,10.58
2010-04,9,293,32,10.92
2010-04,10,293,22,7.51
2010-04,11,293,41,13.99
2010-04,12,293,41,13.99
2010-04,13,293,46,15.7
2010-04,14,293,46,15.7
2010-04,15,293,46,15.7
2010-04,16,293,41,13.99
2010-04,17,293,44,15.02
2010-04,18,293,53,18.09
2010-04,19,293,66,22.53
2010-04,20,293,17,5.8
2010-05,0,254,254,100.0
2010-05,1,254,40,15.75
2010-05,2,254,43,16.93
2010-05,3,254,44,17.32
2010-05,4,254,45,17.72
2010-05,5,254,65,25.59
2010-05,6,254,54,21.26
2010-05,7,254,32,12.6
2010-05,8,254,15,5.91
2010-05,9,254,21,8.27
2010-05,10,254,29,11.42
2010-05,11,254,34,13.39
2010-05,12,254,39,15.35
2010-05,13,254,39,15.35
2010-05,14,254,25,9.84
2010-05,15,254,32,12.6
2010-05,16,254,35,13.78
2010-05,17,254,42,16.54
2010-05,18,254,39,15.35
2010-05,19,254,12,4.72
2010-06,0,267,267,100.0
2010-06,1,267,47,17.6
2010-06,2,267,50,18.73
2010-06,3,267,55,20.6
2010-06,4,267,62,23.22
2010-06,5,267,76,28.46
2010-06,6,267,34,12.73
2010-06,7,267,24,8.99
2010-06,8,267,22,8.24
2010-06,9,267,30,11.24
2010-06,10,267,28,10.49
2010-06,11,267,37,13.86
2010-06,12,267,40,14.98
2010-06,13,267,33,12.36
2010-06,14,267,30,11.24
2010-06,15,267,33,12.36
2010-06,16,267,35,13.11
2010-06,17,267,54,20.22
2010-06,18,267,13,4.87
2010-07,0,185,185,100.0
2010-07,1,185,29,15.68
2010-07,2,185,34,18.38
2010-07,3,185,55,29.73
2010-07,4,185,54,29.19
2010-07,5,185,26,14.05
2010-07,6,185,21,11.35
2010-07,7,185,27,14.59
2010-07,8,185,27,14.59
2010-07,9,185,21,11.35
2010-07,10,185,25,13.51
2010-07,11,185,27,14.59
2010-07,12,185,24,12.97
2010-07,13,185,25,13.51
2010-07,14,185,36,19.46
2010-07,15,185,32,17.3
2010-07,16,185,44,23.78
2010-07,17,185,15,8.11
2010-08,0,162,162,100.0
2010-08,1,162,32,19.75
2010-08,2,162,47,29.01
2010-08,3,162,53,32.72
2010-08,4,162,27,16.67
2010-08,5,162,19,11.73
2010-08,6,162,16,9.88
2010-08,7,162,21,12.96
2010-08,8,162,22,13.58
2010-08,9,162,21,12.96
2010-08,10,162,21,12.96
2010-08,11,162,19,11.73
2010-08,12,162,24,14.81
2010-08,13,162,28,17.28
2010-08,14,162,28,17.28
2010-08,15,162,32,19.75
2010-08,16,162,12,7.41
2010-09,0,239,239,100.0
2010-09,1,239,55,23.01
2010-09,2,239,56,23.43
2010-09,3,239,31,12.97
2010-09,4,239,21,8.79
2010-09,5,239,25,10.46
2010-09,6,239,33,13.81
2010-09,7,239,23,9.62
2010-09,8,239,31,12.97
2010-09,9,239,31,12.97
2010-09,10,239,29,12.13
2010-09,11,239,24,10.04
2010-09,12,239,54,22.59
2010-09,13,239,40,16.74
2010-09,14,239,40,16.74
2010-09,15,239,13,5.44
2010-10,0,375,375,100.0
2010-10,1,375,97,25.87
2010-10,2,375,55,14.67
2010-10,3,375,47,12.53
2010-10,4,375,33,8.8
2010-10,5,375,31,8.27
2010-10,6,375,49,13.07
2010-10,7,375,52,13.87
2010-10,8,375,40,10.67
2010-10,9,375,35,9.33
2010-10,10,375,40,10.67
2010-10,11,375,48,12.8
2010-10,12,375,72,19.2
2010-10,13,375,87,23.2
2010-10,14,375,26,6.93
2010-11,0,326,326,100.0
2010-11,1,326,57,17.48
2010-11,2,326,31,9.51
2010-11,3,326,31,9.51
2010-11,4,326,25,7.67
2010-11,5,326,29,8.9
2010-11,6,326,42,12.88
2010-11,7,326,33,10.12
2010-11,8,326,28,8.59
2010-11,9,326,30,9.2
2010-11,10,326,36,11.04
2010-11,11,326,48,14.72
2010-11,12,326,82,25.15
2010-11,13,326,21,6.44
2010-12,0,76,76,100.0
2010-12,1,76,7,9.21
2010-12,2,76,4,5.26
2010-12,3,76,7,9.21
2010-12,4,76,9,11.84
2010-12,5,76,5,6.58
2010-12,6,76,4,5.26
