month,total_revenue,active_customers,total_orders,avg_order_value,prev_month_revenue,mom_revenue_growth_pct
2009-12,677916.07,951,1497,452.85,,
2010-01,537251.5,717,991,542.13,677916.07,-20.75
2010-02,497937.57,771,1093,455.57,537251.5,-7.32
2010-03,665973.67,1051,1509,441.33,497937.57,33.75
2010-04,585127.43,939,1315,444.96,665973.67,-12.14
2010-05,592734.13,965,1365,434.24,585127.43,1.3
2010-06,629540.45,1035,1482,424.79,592734.13,6.21
2010-07,581487.96,924,1362,426.94,629540.45,-7.63
2010-08,594561.17,910,1276,465.96,581487.96,2.25
2010-09,805494.41,1136,1659,485.53,594561.17,35.48
2010-10,1011556.75,1492,2108,479.87,805494.41,25.58
2010-11,1155978.39,1606,2570,449.8,1011556.75,14.28
2010-12,564961.96,884,1394,405.28,1155978.39,-51.13
2011-01,562682.91,739,983,572.41,564961.96,-0.4
2011-02,442293.59,757,992,445.86,562682.91,-21.4
2011-03,583143.85,973,1312,444.47,442293.59,31.85
2011-04,454440.88,853,1139,398.98,583143.85,-22.07
2011-05,659227.64,1054,1544,426.96,454440.88,45.06
2011-06,653264.92,990,1390,469.97,659227.64,-0.9
2011-07,591603.79,946,1321,447.85,653264.92,-9.44
2011-08,635514.38,933,1267,501.59,591603.79,7.42
2011-09,938746.05,1259,1739,539.82,635514.38,47.71
2011-10,1002324.06,1361,1903,526.71,938746.05,6.77
2011-11,1135997.0,1660,2642,429.98,1002324.06,13.34
2011-12,512228.08,614,776,660.09,1135997.0,-54.91
