month,active_customers,repeat_customers,repeat_rate_pct
2009-12,951,0,0.0
2010-01,717,335,46.72
2010-02,771,396,51.36
2010-03,1051,611,58.14
2010-04,939,646,68.8
2010-05,965,711,73.68
2010-06,1035,768,74.2
2010-07,924,739,79.98
2010-08,910,748,82.2
2010-09,1136,897,78.96
2010-10,1492,1117,74.87
2010-11,1606,1280,79.7
2010-12,884,808,91.4
2011-01,739,667,90.26
2011-02,757,632,83.49
2011-03,973,794,81.6
2011-04,853,747,87.57
2011-05,1054,943,89.47
2011-06,990,882,89.09
2011-07,946,845,89.32
2011-08,933,827,88.64
2011-09,1259,1071,85.07
2011-10,1361,1140,83.76
2011-11,1660,1469,88.49
2011-12,614,586,95.44
