month,total_revenue,active_customers,avg_order_value,mom_revenue_growth_pct
2009-12,677916.07,951,452.85,
2010-01,537251.5,717,542.13,-20.75
2010-02,497937.57,771,455.57,-7.32
2010-03,665973.67,1051,441.33,33.75
2010-04,585127.43,939,444.96,-12.14
2010-05,592734.13,965,434.24,1.3
2010-06,629540.45,1035,424.79,6.21
2010-07,581487.96,924,426.94,-7.63
2010-08,594561.17,910,465.96,2.25
2010-09,805494.41,1136,485.53,35.48
2010-10,1011556.75,1492,479.87,25.58
2010-11,1155978.39,1606,449.8,14.28
2010-12,564961.96,884,405.28,-51.13
2011-01,562682.91,739,572.41,-0.4
2011-02,442293.59,757,445.86,-21.4
2011-03,583143.85,973,444.47,31.85
2011-04,454440.88,853,398.98,-22.07
2011-05,659227.64,1054,426.96,45.06
2011-06,653264.92,990,469.97,-0.9
2011-07,591603.79,946,447.85,-9.44
2011-08,635514.38,933,501.59,7.42
2011-09,938746.05,1259,539.82,47.71
2011-10,1002324.06,1361,526.71,6.77
2011-11,1135997.0,1660,429.98,13.34
2011-12,512228.08,614,660.09,-54.91
