Customer_ID,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_total,segment
12713,0,1,794.55,5,2,3,10,New
12985,0,2,1239.38,5,3,4,12,Loyal
16446,0,2,168472.5,5,3,5,13,Loyal
15344,0,3,563.94,5,3,2,10,Loyal
12526,0,3,1172.66,5,3,3,11,Loyal
12680,0,4,790.81,5,3,3,11,Loyal
14446,0,5,1195.48,5,4,3,12,Loyal
12518,0,5,1840.89,5,4,4,13,Champions
17490,0,9,2750.5,5,5,4,14,Champions
12423,0,10,2301.39,5,5,4,14,Champions
12433,0,10,16794.14,5,5,5,15,Champions
14441,0,11,4611.69,5,5,5,15,Champions
15804,0,13,4206.39,5,5,5,15,Champions
17754,0,13,4451.22,5,5,5,15,Champions
15910,0,15,2661.17,5,5,4,14,Champions
16626,0,17,4413.1,5,5,5,15,Champions
17001,0,19,6640.8,5,5,5,15,Champions
14422,0,19,10271.52,5,5,5,15,Champions
16954,0,20,6081.88,5,5,5,15,Champions
12662,0,20,6130.54,5,5,5,15,Champions
13426,0,22,8167.38,5,5,5,15,Champions
15694,0,23,9963.48,5,5,5,15,Champions
17364,0,28,11972.92,5,5,5,15,Champions
13113,0,37,18230.07,5,5,5,15,Champions
14051,0,37,21770.98,5,5,5,15,Champions
13069,0,38,9284.45,5,5,5,15,Champions
16558,0,38,13304.11,5,5,5,15,Champions
16705,0,42,43515.05,5,5,5,15,Champions
17581,0,43,17951.17,5,5,5,15,Champions
17428,0,45,31466.76,5,5,5,15,Champions
13777,0,61,49638.26,5,5,5,15,Champions
17389,0,61,57215.33,5,5,5,15,Champions
18102,0,145,580987.04,5,5,5,15,Champions
15311,0,207,114671.42,5,5,5,15,Champions
12748,0,323,49561.33,5,5,5,15,Champions
13436,1,1,196.89,5,1,1,7,New
15520,1,1,343.5,5,1,2,8,New
13298,1,1,360.0,5,2,2,9,New
13404,1,2,252.49,5,2,1,8,New
14520,1,2,270.6,5,2,1,8,New
16322,1,2,326.75,5,2,2,9,New
17668,1,2,347.75,5,2,2,9,New
13954,1,2,439.92,5,2,2,9,New
15877,1,2,490.33,5,2,2,9,New
14138,1,2,965.88,5,3,3,11,Loyal
17144,1,2,984.57,5,3,3,11,Loyal
17830,1,3,398.7,5,3,2,10,Loyal
13318,1,3,640.76,5,3,3,11,Loyal
13314,1,3,775.94,5,3,3,11,Loyal
15399,1,3,815.77,5,3,3,11,Loyal
15156,1,3,961.49,5,3,3,11,Loyal
17405,1,3,1031.41,5,3,3,11,Loyal
13521,1,3,1070.47,5,3,3,11,Loyal
14569,1,4,597.33,5,3,2,10,Loyal
16688,1,4,1260.86,5,4,4,13,Champions
15237,1,4,1412.32,5,4,4,13,Champions
17856,1,4,1418.03,5,4,4,13,Champions
13471,1,4,2501.84,5,4,4,13,Champions
17436,1,5,534.06,5,4,2,11,Loyal
16442,1,5,891.98,5,4,3,12,Loyal
17522,1,5,1066.15,5,4,3,12,Loyal
14698,1,5,1217.27,5,4,4,13,Champions
13860,1,5,1245.9,5,4,4,13,Champions
14719,1,5,1581.84,5,4,4,13,Champions
17554,1,5,1952.45,5,4,4,13,Champions
14251,1,5,2879.7,5,4,4,13,Champions
16358,1,5,2919.65,5,4,5,14,Champions
12358,1,5,3447.07,5,4,5,14,Champions
15208,1,6,970.52,5,4,3,12,Loyal
13924,1,6,1838.85,5,4,4,13,Champions
16833,1,6,2409.04,5,4,4,13,Champions
15484,1,6,4652.1,5,4,5,14,Champions
16892,1,7,754.75,5,4,3,12,Loyal
17631,1,7,998.49,5,4,3,12,Loyal
15453,1,7,1371.77,5,4,4,13,Champions
17451,1,7,1721.4,5,4,4,13,Champions
18210,1,7,2768.83,5,4,4,13,Champions
13536,1,7,3444.39,5,4,5,14,Champions
15214,1,8,1661.44,5,4,4,13,Champions
14730,1,8,1897.57,5,4,4,13,Champions
17528,1,8,3628.5,5,5,5,15,Champions
13026,1,9,1733.08,5,5,4,14,Champions
14129,1,9,2591.34,5,5,4,14,Champions
14621,1,9,3000.57,5,5,5,15,Champions
16933,1,9,3099.3,5,5,5,15,Champions
16891,1,11,1727.94,5,5,4,14,Champions
13077,1,11,2740.65,5,5,4,14,Champions
13510,1,11,4558.29,5,5,5,15,Champions
12955,1,11,4757.16,5,5,5,15,Champions
17530,1,12,2787.1,5,5,4,14,Champions
14653,1,12,3583.11,5,5,5,15,Champions
13680,1,12,11419.67,5,5,5,15,Champions
17673,1,13,4173.88,5,5,5,15,Champions
13890,1,14,2927.38,5,5,5,15,Champions
15443,1,14,5114.23,5,5,5,15,Champions
16794,1,15,2050.68,5,5,4,14,Champions
15187,1,15,4762.18,5,5,5,15,Champions
14191,1,15,4817.66,5,5,5,15,Champions
15796,1,17,5170.63,5,5,5,15,Champions
17491,1,17,5653.67,5,5,5,15,Champions
13394,1,19,6621.7,5,5,5,15,Champions
17644,1,20,6028.6,5,5,5,15,Champions
14217,1,23,3298.59,5,5,5,15,Champions
16401,1,23,6847.45,5,5,5,15,Champions
14291,1,23,7904.1,5,5,5,15,Champions
14056,1,23,8152.71,5,5,5,15,Champions
14415,1,23,11980.09,5,5,5,15,Champions
14135,1,24,8839.67,5,5,5,15,Champions
15898,1,25,4992.7,5,5,5,15,Champions
14796,1,27,10167.77,5,5,5,15,Champions
13269,1,28,8537.32,5,5,5,15,Champions
16523,1,28,11916.33,5,5,5,15,Champions
13098,1,28,28882.44,5,5,5,15,Champions
14702,1,29,6356.98,5,5,5,15,Champions
13013,1,29,11097.43,5,5,5,15,Champions
13599,1,33,9811.04,5,5,5,15,Champions
16210,1,33,33730.97,5,5,5,15,Champions
15159,1,34,22116.73,5,5,5,15,Champions
12621,1,35,22097.2,5,5,5,15,Champions
13102,1,37,11380.1,5,5,5,15,Champions
13263,1,38,8650.98,5,5,5,15,Champions
18109,1,38,9555.71,5,5,5,15,Champions
12437,1,38,11282.4,5,5,5,15,Champions
17315,1,41,9559.5,5,5,5,15,Champions
16161,1,43,12580.06,5,5,5,15,Champions
15189,1,46,17524.38,5,5,5,15,Champions
17677,1,54,35058.46,5,5,5,15,Champions
17757,1,56,9070.1,5,5,5,15,Champions
17243,1,69,20184.68,5,5,5,15,Champions
17675,1,70,37642.48,5,5,5,15,Champions
13468,1,72,12793.28,5,5,5,15,Champions
13408,1,106,50174.78,5,5,5,15,Champions
13798,1,110,75428.87,5,5,5,15,Champions
