month,StockCode,description,product_revenue,units_sold,revenue_rank
2009-12,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16425.51,6207,1
2009-12,15056BL,EDWARDIAN PARASOL BLACK,8632.75,2185,2
2009-12,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,7561.2,2922,3
2009-12,84879,ASSORTED COLOUR BIRD ORNAMENT,7271.89,4621,4
2009-12,85099B,JUMBO BAG RED WHITE SPOTTY ,6512.7,3726,5
2009-12,22111,SCOTTIE DOG HOT WATER BOTTLE,6498.75,1413,6
2009-12,20679,EDWARDIAN PARASOL RED,6108.25,1675,7
2009-12,79323W, WHITE CHERRY LIGHTS,6069.9,1046,8
2009-12,15056N,EDWARDIAN PARASOL NATURAL,5953.95,1641,9
2009-12,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,5953.95,1593,9
2010-01,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14280.4,5400,1
2010-01,85099B,JUMBO BAG RED WHITE SPOTTY ,6064.95,3517,2
2010-01,48138,DOOR MAT UNION FLAG,4803.4,852,3
2010-01,20679,EDWARDIAN PARASOL RED,4568.95,1141,4
2010-01,15056BL,EDWARDIAN PARASOL BLACK,4414.75,1105,5
2010-01,21843,RETRO SPOT CAKE STAND,4404.45,411,6
2010-01,21733,RED HANGING HEART T-LIGHT HOLDER,3798.4,1408,7
2010-01,ADJUST,Adjustment by john on 26/01/2010 16,3538.52,32,8
2010-01,20914,SET/5 RED SPOTTY LID GLASS BOWLS,3119.65,1179,9
2010-01,37503,TEA TIME CAKE STAND IN GIFT BOX,3096.35,305,10
2010-02,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7629.9,2818,1
2010-02,85220,SMALL FAIRY CAKE FRIDGE MAGNETS,6467.6,11960,2
2010-02,20685,DOOR MAT RED SPOT,6209.28,1120,3
2010-02,85099B,JUMBO BAG RED WHITE SPOTTY ,4651.2,2636,4
2010-02,21524,DOOR MAT SPOTTY HOME SWEET HOME,4005.44,780,5
2010-02,48194,DOOR MAT HEARTS,3489.31,695,6
2010-02,21843,RETRO SPOT CAKE STAND,3382.65,327,7
2010-02,22386,JUMBO BAG PINK WITH WHITE SPOTS,3325.35,1893,8
2010-02,48138,DOOR MAT UNION FLAG,3241.11,481,9
2010-02,21166,COOK WITH WINE METAL SIGN ,3005.34,1722,10
2010-03,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12611.72,4744,1
2010-03,22423,REGENCY CAKESTAND 3 TIER,7957.2,680,2
2010-03,85099B,JUMBO BAG RED WHITE SPOTTY ,5635.5,3190,3
2010-03,84879,ASSORTED COLOUR BIRD ORNAMENT,4952.61,3093,4
2010-03,48138,DOOR MAT UNION FLAG,4113.75,615,5
2010-03,79323W, WHITE CHERRY LIGHTS,4010.8,672,6
2010-03,21181,PLEASE ONE PERSON  METAL SIGN,3804.42,2026,7
2010-03,84467,ENGLISH ROSE DESIGN QUILTED THROW,3795.25,287,8
2010-03,47566,PARTY BUNTING,3418.5,770,9
2010-03,79323P,PINK CHERRY LIGHTS,3356.55,577,10
2010-04,22423,REGENCY CAKESTAND 3 TIER,12891.9,1106,1
2010-04,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9659.6,3612,2
2010-04,85099B,JUMBO BAG RED WHITE SPOTTY ,6837.45,3891,3
2010-04,47566,PARTY BUNTING,5476.65,1297,4
2010-04,48138,DOOR MAT UNION FLAG,4369.01,645,5
2010-04,84879,ASSORTED COLOUR BIRD ORNAMENT,4348.81,2713,6
2010-04,21621,VINTAGE UNION JACK BUNTING,4247.0,512,7
2010-04,85099F,JUMBO BAG STRAWBERRY,3534.6,2028,8
2010-04,21843,RED RETROSPOT CAKE STAND,3447.6,328,9
2010-04,15056N,EDWARDIAN PARASOL NATURAL,3203.55,609,10
2010-05,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11722.25,4391,1
2010-05,47566,PARTY BUNTING,8064.45,1953,2
2010-05,85099B,JUMBO BAG RED RETROSPOT,6201.75,3565,3
2010-05,22423,REGENCY CAKESTAND 3 TIER,5878.8,504,4
2010-05,21621,VINTAGE UNION JACK BUNTING,4383.0,528,5
2010-05,22606,WOODEN SKITTLES GARDEN SET,4053.9,330,6
2010-05,48138,DOOR MAT UNION FLAG,3762.83,559,7
2010-05,22605,WOODEN CROQUET GARDEN SET,3631.1,362,8
2010-05,84879,ASSORTED COLOUR BIRD ORNAMENT,3481.12,2128,9
2010-05,20725,LUNCH BAG RED SPOTTY,3437.2,2208,10
2010-06,22423,REGENCY CAKESTAND 3 TIER,14949.75,1289,1
2010-06,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11488.7,4290,2
2010-06,15044A,PINK PAPER PARASOL ,9401.25,3675,3
2010-06,85099B,JUMBO BAG RED RETROSPOT,7482.45,4231,4
2010-06,21621,VINTAGE UNION JACK BUNTING,5253.0,618,5
2010-06,20726,LUNCH BAG WOODLAND,4992.8,3352,6
2010-06,20727,LUNCH BAG  BLACK SKULL.,4919.1,3310,7
2010-06,21843,RED RETROSPOT CAKE STAND,4799.19,517,8
2010-06,20728,LUNCH BAG CARS BLUE,4584.0,3080,9
2010-06,47566,PARTY BUNTING,4278.4,1014,10
2010-07,22423,REGENCY CAKESTAND 3 TIER,16648.2,1452,1
2010-07,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10227.9,3914,2
2010-07,84078A,SET/4 WHITE RETRO STORAGE CUBES ,7689.05,219,3
2010-07,85099B,JUMBO BAG RED RETROSPOT,6242.85,3511,4
2010-07,84879,ASSORTED COLOUR BIRD ORNAMENT,4853.75,3047,5
2010-07,48138,DOOR MAT UNION FLAG,4367.49,747,6
2010-07,20914,SET/5 RED SPOTTY LID GLASS BOWLS,3796.3,1426,7
2010-07,48188,DOOR MAT WELCOME PUPPIES,3731.65,665,8
2010-07,21929,JUMBO BAG PINK VINTAGE PAISLEY,3334.05,1899,9
2010-07,21843,RED RETROSPOT CAKE STAND,3267.15,341,10
2010-08,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12102.85,4555,1
2010-08,22423,REGENCY CAKESTAND 3 TIER,11002.65,955,2
2010-08,84879,ASSORTED COLOUR BIRD ORNAMENT,4926.51,3123,3
2010-08,21523,DOORMAT FANCY FONT HOME SWEET HOME,4218.76,736,4
2010-08,85099F,JUMBO BAG STRAWBERRY,4149.9,2362,5
2010-08,20725,LUNCH BAG RED SPOTTY,4015.9,2606,6
2010-08,22189,CREAM HEART CARD HOLDER,3915.2,1348,7
2010-08,48194,DOORMAT HEARTS,3874.29,681,8
2010-08,21843,RED RETROSPOT CAKE STAND,3510.6,372,9
2010-08,20914,SET/5 RED SPOTTY LID GLASS BOWLS,3241.65,1203,10
2010-09,22423,REGENCY CAKESTAND 3 TIER,22460.1,1966,1
2010-09,85099B,JUMBO BAG RED RETROSPOT,11987.55,6949,2
2010-09,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11379.95,4285,3
2010-09,84879,ASSORTED COLOUR BIRD ORNAMENT,6610.01,4193,4
2010-09,21621,VINTAGE UNION JACK BUNTING,6310.46,737,5
2010-09,21622,VINTAGE UNION JACK CUSHION COVER,4925.07,741,6
2010-09,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,4922.4,2664,7
2010-09,22470,HEART OF WICKER LARGE,4793.05,1663,8
2010-09,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,4441.3,1614,9
2010-09,21906,PHARMACIE FIRST AID TIN,4053.74,578,10
2010-10,22423,REGENCY CAKESTAND 3 TIER,21460.2,1860,1
2010-10,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12100.75,4405,2
2010-10,84879,ASSORTED COLOUR BIRD ORNAMENT,9264.66,5938,3
2010-10,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,8300.85,4523,4
2010-10,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,7623.85,2855,5
2010-10,85099B,JUMBO BAG RED RETROSPOT,7576.5,4306,6
2010-10,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6685.3,2430,7
2010-10,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,6640.0,2384,8
2010-10,21733,RED HANGING HEART T-LIGHT HOLDER,5415.31,1921,9
2010-10,21137,BLACK RECORD COVER FRAME,5243.88,1532,10
2010-11,22423,REGENCY CAKESTAND 3 TIER,22142.7,1938,1
2010-11,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,20549.1,11466,2
2010-11,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17026.38,6430,3
2010-11,84879,ASSORTED COLOUR BIRD ORNAMENT,14291.67,9167,4
2010-11,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,13469.65,5019,5
2010-11,85099B,JUMBO BAG RED RETROSPOT,10638.0,6124,6
2010-11,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,8231.9,3002,7
2010-11,22865,HAND WARMER OWL DESIGN,7711.8,3838,8
2010-11,22837,HOT WATER BOTTLE BABUSHKA ,7590.9,1714,9
2010-11,22866,HAND WARMER SCOTTY DOG DESIGN,6853.8,3418,10
2010-12,22423,REGENCY CAKESTAND 3 TIER,17581.5,1554,1
2010-12,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9602.05,3611,2
2010-12,21623,VINTAGE UNION JACK MEMOBOARD,6938.49,1059,3
2010-12,82484,WOOD BLACK BOARD ANT WHITE FINISH,6685.23,1335,4
2010-12,21137,BLACK RECORD COVER FRAME,6248.82,1838,5
2010-12,79321,CHILLI LIGHTS,6199.34,1470,6
2010-12,22189,CREAM HEART CARD HOLDER,5532.63,2253,7
